timestamp,ip_address,username,event_type
2026-09-16 09:00:00,192.168.1.10,alice,SUCCESS_LOGIN
2026-09-16 09:05:12,192.168.1.11,bob,FAILED_LOGIN
2026-09-16 09:05:25,192.168.1.11,bob,SUCCESS_LOGIN
2026-09-16 09:10:01,10.0.0.25,admin,FAILED_LOGIN
2026-09-16 09:10:08,10.0.0.25,admin,FAILED_LOGIN
2026-09-16 09:10:15,10.0.0.25,admin,FAILED_LOGIN
2026-09-16 09:10:22,10.0.0.25,admin,FAILED_LOGIN
2026-09-16 09:10:35,10.0.0.25,admin,SUCCESS_LOGIN
2026-09-16 09:20:00,172.16.0.8,charlie,FAILED_LOGIN
2026-09-16 09:20:06,172.16.0.8,charlie,FAILED_LOGIN
2026-09-16 09:20:12,172.16.0.8,charlie,FAILED_LOGIN
2026-09-16 09:20:18,172.16.0.8,charlie,FAILED_LOGIN
2026-09-16 09:20:24,172.16.0.8,charlie,FAILED_LOGIN
2026-09-16 09:30:00,192.168.1.12,diana,SUCCESS_LOGIN
